mp,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max.1,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,gmsc_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,home,Teams,Total,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp.1,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,gmsc_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,home_opp,Teams_opp,Total_opp,season,date,won
240.0,240.0,33.0,75.0,0.44,10.0,28.0,0.357,15.0,22.0,0.682,4.0,35.0,39.0,20.0,9.0,3.0,16.0,13.0,91.0,0.537,0.507,0.373,0.293,10.0,85.4,48.1,60.6,9.3,4.2,15.9,100.0,94.1,97.2,,9.0,18.0,0.667,4.0,9.0,0.5,5.0,9.0,0.833,1.0,14.0,14.0,7.0,4.0,3.0,4.0,3.0,26.0,18.1,8.0,0.75,0.75,1.0,0.857,10.2,46.9,23.7,33.7,5.3,5.8,33.3,30.5,125.0,105.0,0,PHO,91,1,240.0,240.0,41.0,84.0,0.488,4.0,13.0,0.308,8.0,12.0,0.667,6.0,36.0,42.0,23.0,10.0,4.0,16.0,19.0,94.0,,,0.526,0.512,0.155,0.143,14.6,90.0,51.9,56.1,10.3,8.5,15.2,100.0,97.2,94.1,,,10.0,20.0,0.8,1.0,4.0,0.5,3.0,5.0,1.0,2.0,7.0,9.0,8.0,3.0,2.0,4.0,5.0,23.0,15.3,13.0,0.8,0.8,0.5,0.286,21.1,46.3,23.4,38.3,5.1,18.4,33.3,30.2,139.0,103.0,1,BRK,94,2016,2015-12-01,False
240.0,240.0,41.0,84.0,0.488,4.0,13.0,0.308,8.0,12.0,0.667,6.0,36.0,42.0,23.0,10.0,4.0,16.0,19.0,94.0,0.526,0.512,0.155,0.143,14.6,90.0,51.9,56.1,10.3,8.5,15.2,100.0,97.2,94.1,,10.0,20.0,0.8,1.0,4.0,0.5,3.0,5.0,1.0,2.0,7.0,9.0,8.0,3.0,2.0,4.0,5.0,23.0,15.3,13.0,0.8,0.8,0.5,0.286,21.1,46.3,23.4,38.3,5.1,18.4,33.3,30.2,139.0,103.0,1,BRK,94,0,240.0,240.0,33.0,75.0,0.44,10.0,28.0,0.357,15.0,22.0,0.682,4.0,35.0,39.0,20.0,9.0,3.0,16.0,13.0,91.0,,,0.537,0.507,0.373,0.293,10.0,85.4,48.1,60.6,9.3,4.2,15.9,100.0,94.1,97.2,,,9.0,18.0,0.667,4.0,9.0,0.5,5.0,9.0,0.833,1.0,14.0,14.0,7.0,4.0,3.0,4.0,3.0,26.0,18.1,8.0,0.75,0.75,1.0,0.857,10.2,46.9,23.7,33.7,5.3,5.8,33.3,30.5,125.0,105.0,0,PHO,91,2016,2015-12-01,True
240.0,240.0,39.0,83.0,0.47,7.0,28.0,0.25,12.0,16.0,0.75,2.0,37.0,39.0,23.0,7.0,5.0,13.0,23.0,97.0,0.539,0.512,0.337,0.193,5.1,78.7,45.3,59.0,7.0,9.4,12.6,100.0,97.7,85.6,,14.0,24.0,0.714,3.0,10.0,0.6,5.0,7.0,1.0,1.0,11.0,11.0,10.0,5.0,4.0,5.0,5.0,35.0,30.4,20.0,0.857,0.857,0.571,0.667,4.5,34.3,18.8,51.9,6.0,11.1,22.2,35.9,125.0,98.0,0,WAS,97,1,240.0,240.0,28.0,83.0,0.337,9.0,30.0,0.3,20.0,23.0,0.87,10.0,37.0,47.0,15.0,8.0,3.0,19.0,18.0,85.0,,,0.456,0.392,0.361,0.277,21.3,94.9,54.7,53.6,8.1,5.5,16.9,100.0,85.6,97.7,,,8.0,20.0,0.556,3.0,11.0,1.0,8.0,8.0,1.0,4.0,9.0,13.0,4.0,2.0,1.0,9.0,4.0,24.0,13.5,8.0,0.759,0.722,1.0,0.667,11.5,36.1,22.5,35.7,3.6,3.2,57.1,37.6,153.0,104.0,1,CLE,85,2016,2015-12-01,True
240.0,240.0,28.0,83.0,0.337,9.0,30.0,0.3,20.0,23.0,0.87,10.0,37.0,47.0,15.0,8.0,3.0,19.0,18.0,85.0,0.456,0.392,0.361,0.277,21.3,94.9,54.7,53.6,8.1,5.5,16.9,100.0,85.6,97.7,,8.0,20.0,0.556,3.0,11.0,1.0,8.0,8.0,1.0,4.0,9.0,13.0,4.0,2.0,1.0,9.0,4.0,24.0,13.5,8.0,0.759,0.722,1.0,0.667,11.5,36.1,22.5,35.7,3.6,3.2,57.1,37.6,153.0,104.0,1,CLE,85,0,240.0,240.0,39.0,83.0,0.47,7.0,28.0,0.25,12.0,16.0,0.75,2.0,37.0,39.0,23.0,7.0,5.0,13.0,23.0,97.0,,,0.539,0.512,0.337,0.193,5.1,78.7,45.3,59.0,7.0,9.4,12.6,100.0,97.7,85.6,,,14.0,24.0,0.714,3.0,10.0,0.6,5.0,7.0,1.0,1.0,11.0,11.0,10.0,5.0,4.0,5.0,5.0,35.0,30.4,20.0,0.857,0.857,0.571,0.667,4.5,34.3,18.8,51.9,6.0,11.1,22.2,35.9,125.0,98.0,0,WAS,97,2016,2015-12-01,False
240.0,240.0,38.0,86.0,0.442,5.0,17.0,0.294,15.0,20.0,0.75,11.0,33.0,44.0,19.0,7.0,5.0,13.0,30.0,96.0,0.506,0.471,0.198,0.233,24.4,73.3,48.9,50.0,7.4,8.6,12.1,100.0,102.2,99.0,,9.0,19.0,1.0,2.0,5.0,0.5,3.0,4.0,1.0,4.0,8.0,12.0,5.0,3.0,2.0,4.0,5.0,18.0,13.0,10.0,1.064,1.0,0.5,2.0,11.4,31.7,17.1,23.8,5.6,12.4,33.3,27.4,224.0,110.0,0,ORL,96,1,240.0,240.0,29.0,77.0,0.377,4.0,19.0,0.211,31.0,38.0,0.816,12.0,34.0,46.0,14.0,7.0,11.0,15.0,20.0,93.0,,,0.496,0.403,0.247,0.494,26.7,75.6,51.1,48.3,7.4,15.9,13.8,100.0,99.0,102.2,,,9.0,15.0,0.667,2.0,5.0,1.0,8.0,11.0,1.0,3.0,6.0,8.0,5.0,3.0,3.0,2.0,3.0,27.0,19.4,10.0,0.751,0.667,0.6,0.8,13.2,31.3,20.9,35.2,5.8,10.2,29.1,29.5,134.0,113.0,1,MIN,93,2016,2015-12-01,True
240.0,240.0,29.0,77.0,0.377,4.0,19.0,0.211,31.0,38.0,0.816,12.0,34.0,46.0,14.0,7.0,11.0,15.0,20.0,93.0,0.496,0.403,0.247,0.494,26.7,75.6,51.1,48.3,7.4,15.9,13.8,100.0,99.0,102.2,,9.0,15.0,0.667,2.0,5.0,1.0,8.0,11.0,1.0,3.0,6.0,8.0,5.0,3.0,3.0,2.0,3.0,27.0,19.4,10.0,0.751,0.667,0.6,0.8,13.2,31.3,20.9,35.2,5.8,10.2,29.1,29.5,134.0,113.0,1,MIN,93,0,240.0,240.0,38.0,86.0,0.442,5.0,17.0,0.294,15.0,20.0,0.75,11.0,33.0,44.0,19.0,7.0,5.0,13.0,30.0,96.0,,,0.506,0.471,0.198,0.233,24.4,73.3,48.9,50.0,7.4,8.6,12.1,100.0,102.2,99.0,,,9.0,19.0,1.0,2.0,5.0,0.5,3.0,4.0,1.0,4.0,8.0,12.0,5.0,3.0,2.0,4.0,5.0,18.0,13.0,10.0,1.064,1.0,0.5,2.0,11.4,31.7,17.1,23.8,5.6,12.4,33.3,27.4,224.0,110.0,0,ORL,96,2016,2015-12-01,False
240.0,240.0,43.0,90.0,0.478,2.0,10.0,0.2,25.0,26.0,0.962,13.0,36.0,49.0,21.0,3.0,4.0,6.0,23.0,113.0,0.557,0.489,0.111,0.289,31.7,80.0,57.0,48.8,3.3,7.4,5.6,100.0,123.6,113.8,,11.0,22.0,1.0,1.0,4.0,0.333,16.0,16.0,1.0,4.0,13.0,13.0,6.0,1.0,4.0,3.0,4.0,38.0,34.5,22.0,1.0,1.0,0.364,1.0,26.0,32.9,24.8,23.3,3.5,8.4,16.7,33.9,204.0,118.0,0,MEM,113,1,240.0,240.0,35.0,81.0,0.432,9.0,27.0,0.333,25.0,33.0,0.758,9.0,28.0,37.0,25.0,3.0,11.0,8.0,21.0,104.0,,,0.544,0.488,0.333,0.407,20.0,68.3,43.0,71.4,3.3,13.8,7.7,100.0,113.8,123.6,,,7.0,16.0,0.833,2.0,7.0,1.0,8.0,13.0,1.0,3.0,11.0,14.0,10.0,2.0,9.0,2.0,4.0,20.0,23.4,9.0,0.833,0.833,0.6,1.0,19.0,31.3,19.0,63.2,2.6,13.1,41.0,29.9,162.0,132.0,1,NOP,104,2016,2015-12-01,True
240.0,240.0,35.0,81.0,0.432,9.0,27.0,0.333,25.0,33.0,0.758,9.0,28.0,37.0,25.0,3.0,11.0,8.0,21.0,104.0,0.544,0.488,0.333,0.407,20.0,68.3,43.0,71.4,3.3,13.8,7.7,100.0,113.8,123.6,,7.0,16.0,0.833,2.0,7.0,1.0,8.0,13.0,1.0,3.0,11.0,14.0,10.0,2.0,9.0,2.0,4.0,20.0,23.4,9.0,0.833,0.833,0.6,1.0,19.0,31.3,19.0,63.2,2.6,13.1,41.0,29.9,162.0,132.0,1,NOP,104,0,240.0,240.0,43.0,90.0,0.478,2.0,10.0,0.2,25.0,26.0,0.962,13.0,36.0,49.0,21.0,3.0,4.0,6.0,23.0,113.0,,,0.557,0.489,0.111,0.289,31.7,80.0,57.0,48.8,3.3,7.4,5.6,100.0,123.6,113.8,,,11.0,22.0,1.0,1.0,4.0,0.333,16.0,16.0,1.0,4.0,13.0,13.0,6.0,1.0,4.0,3.0,4.0,38.0,34.5,22.0,1.0,1.0,0.364,1.0,26.0,32.9,24.8,23.3,3.5,8.4,16.7,33.9,204.0,118.0,0,MEM,113,2016,2015-12-01,False
240.0,240.0,33.0,89.0,0.371,8.0,34.0,0.235,17.0,24.0,0.708,12.0,34.0,46.0,15.0,4.0,2.0,12.0,19.0,91.0,0.457,0.416,0.382,0.27,24.5,77.3,49.5,45.5,4.2,4.3,10.8,100.0,95.8,108.5,,9.0,26.0,1.0,4.0,17.0,0.333,5.0,6.0,1.0,4.0,8.0,11.0,4.0,1.0,2.0,3.0,4.0,20.0,12.2,7.0,1.0,1.0,1.0,2.0,18.8,30.8,20.0,27.9,2.4,6.2,100.0,42.1,156.0,115.0,0,LAL,91,1,240.0,240.0,37.0,79.0,0.468,14.0,32.0,0.438,15.0,23.0,0.652,10.0,37.0,47.0,28.0,6.0,8.0,16.0,18.0,103.0,,,0.578,0.557,0.405,0.291,22.7,75.5,50.5,75.7,6.3,14.5,15.2,100.0,108.5,95.8,,,8.0,16.0,0.857,5.0,11.0,0.571,4.0,6.0,1.0,3.0,7.0,9.0,6.0,2.0,4.0,3.0,3.0,23.0,19.0,18.0,0.888,0.857,0.8,0.857,11.7,26.2,19.3,46.7,5.0,11.3,30.7,27.8,189.0,107.0,1,PHI,103,2016,2015-12-01,False
240.0,240.0,37.0,79.0,0.468,14.0,32.0,0.438,15.0,23.0,0.652,10.0,37.0,47.0,28.0,6.0,8.0,16.0,18.0,103.0,0.578,0.557,0.405,0.291,22.7,75.5,50.5,75.7,6.3,14.5,15.2,100.0,108.5,95.8,,8.0,16.0,0.857,5.0,11.0,0.571,4.0,6.0,1.0,3.0,7.0,9.0,6.0,2.0,4.0,3.0,3.0,23.0,19.0,18.0,0.888,0.857,0.8,0.857,11.7,26.2,19.3,46.7,5.0,11.3,30.7,27.8,189.0,107.0,1,PHI,103,0,240.0,240.0,33.0,89.0,0.371,8.0,34.0,0.235,17.0,24.0,0.708,12.0,34.0,46.0,15.0,4.0,2.0,12.0,19.0,91.0,,,0.457,0.416,0.382,0.27,24.5,77.3,49.5,45.5,4.2,4.3,10.8,100.0,95.8,108.5,,,9.0,26.0,1.0,4.0,17.0,0.333,5.0,6.0,1.0,4.0,8.0,11.0,4.0,1.0,2.0,3.0,4.0,20.0,12.2,7.0,1.0,1.0,1.0,2.0,18.8,30.8,20.0,27.9,2.4,6.2,100.0,42.1,156.0,115.0,0,LAL,91,2016,2015-12-01,True
